DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 A11_0_K.wav	 2.333	 0.000	 0	 16000	0.0000
 A11_0_84.wav	 2.924	 0.000	 0	 16000	0.0000
 A11_0_85.wav	 2.921	 0.000	 0	 16000	0.0000
 A11_1.wav	 2.584	 0.000	 0	 16000	0.0000
 A11_1_K.wav	 2.298	 0.000	 0	 16000	0.0000
 A11_1_84.wav	 2.728	 0.000	 0	 16000	0.0000
 A11_1_85.wav	 2.764	 0.000	 0	 16000	0.0000
 A11_10.wav	 2.654	 0.000	 0	 16000	0.0000
 A11_10_K.wav	 2.683	 0.000	 0	 16000	0.0000
 A11_10_84.wav	 2.920	 0.000	 0	 16000	0.0000
 A11_10_85.wav	 2.943	 0.000	 0	 16000	0.0000
 A11_100.wav	 2.679	 0.000	 0	 16000	0.0000
 A11_100_K.wav	 2.224	 0.000	 0	 16000	0.0000
 A11_100_84.wav	 2.930	 0.000	 0	 16000	0.0000
 A11_100_85.wav	 3.019	 0.000	 0	 16000	0.0000
 A11_102.wav	 2.576	 0.000	 0	 16000	0.0000
 A11_102_K.wav	 2.384	 0.000	 0	 16000	0.0000
 A11_102_84.wav	 2.863	 0.000	 0	 16000	0.0000
 A11_102_85.wav	 2.984	 0.000	 0	 16000	0.0000
 A11_103.wav	 2.711	 0.000	 0	 16000	0.0000
 A11_103_K.wav	 2.302	 0.000	 0	 16000	0.0000
 A11_103_84.wav	 3.019	 0.000	 0	 16000	0.0000
 A11_103_85.wav	 3.079	 0.000	 0	 16000	0.0000
 A11_104.wav	 2.663	 0.000	 0	 16000	0.0000
 A11_104_K.wav	 2.158	 0.000	 0	 16000	0.0000
 A11_104_84.wav	 3.006	 0.000	 0	 16000	0.0000
 A11_104_85.wav	 3.095	 0.000	 0	 16000	0.0000
 A11_105.wav	 2.691	 0.000	 0	 16000	0.0000
 A11_105_K.wav	 2.533	 0.000	 0	 16000	0.0000
 A11_105_84.wav	 2.996	 0.000	 0	 16000	0.0000
 A11_105_85.wav	 3.110	 0.000	 0	 16000	0.0000
 A11_106.wav	 2.731	 0.000	 0	 16000	0.0000
 A11_106_K.wav	 2.297	 0.000	 0	 16000	0.0000
 A11_106_84.wav	 2.930	 0.000	 0	 16000	0.0000
 A11_106_85.wav	 3.006	 0.000	 0	 16000	0.0000
 A11_107.wav	 2.606	 0.000	 0	 16000	0.0000
 A11_107_K.wav	 2.167	 0.000	 0	 16000	0.0000
 A11_107_84.wav	 3.028	 0.000	 0	 16000	0.0000
 A11_107_85.wav	 3.132	 0.000	 0	 16000	0.0000
 A11_108.wav	 2.659	 0.000	 0	 16000	0.0000
 A11_108_K.wav	 2.329	 0.000	 0	 16000	0.0000
 A11_108_84.wav	 3.061	 0.000	 0	 16000	0.0000
 A11_108_85.wav	 3.172	 0.000	 0	 16000	0.0000
 A11_109.wav	 2.817	 0.000	 0	 16000	0.0000
 A11_109_K.wav	 2.466	 0.000	 0	 16000	0.0000
 A11_109_84.wav	 3.074	 0.000	 0	 16000	0.0000
 A11_109_85.wav	 3.163	 0.000	 0	 16000	0.0000
 A11_11.wav	 2.630	 0.000	 0	 16000	0.0000
 A11_11_K.wav	 2.456	 0.000	 0	 16000	0.0000
 A11_11_84.wav	 2.831	 0.000	 0	 16000	0.0000
 A11_11_85.wav	 2.850	 0.000	 0	 16000	0.0000
 A11_110.wav	 2.652	 0.000	 0	 16000	0.0000
 A11_110_K.wav	 2.346	 0.000	 0	 16000	0.0000
 A11_0.wav	 2.691	 0.000	 0	 16000	0.0000
 A11_0_K.wav	 2.334	 0.000	 0	 16000	0.0000
 A11_0.wav	 2.691	 0.000	 0	 16000	0.0000
 A11_0_K.wav	 2.334	 0.000	 0	 16000	0.0000
 A11_0_84.wav	 2.924	 0.000	 0	 16000	0.0000
 A11_0_85.wav	 2.921	 0.000	 0	 16000	0.0000
 A11_1.wav	 2.584	 0.000	 0	 16000	0.0000
